payer_account_id,first_day_of_month,txn_flow,sum(amount),count(amount),last_modified_date,min(last_modified_date)
26,2023-02-01,InFlow,261970.0,101,2023-02-28,2023-02-01
34,2023-03-01,OutFlow,578160.0,31,2023-03-01,2023-03-01
34,2022-12-01,Value Chain,4351.0,6,2022-12-01,2022-12-01
34,2023-02-01,OutFlow,1.2463831E7,717,2023-02-28,2023-02-01
1056,2023-02-01,InFlow,5500.0,1,2023-02-21,2023-02-21
1056,2023-01-01,InFlow,755.0,1,2023-01-08,2023-01-08
222,2023-02-01,InFlow,250.0,1,2023-02-19,2023-02-19
34,2023-03-01,InFlow,572160.0,30,2023-03-01,2023-03-01
56,2022-12-01,OutFlow,12125.0,4,2022-12-01,2022-12-01
56,2023-02-01,Value Chain,321817.0,868,2023-02-28,2023-02-01
471,2023-02-01,OutFlow,4960.0,10,2023-02-28,2023-02-02
222,2023-02-01,Value Chain,3070.0,22,2023-02-24,2023-02-08
471,2023-02-01,InFlow,4960.0,10,2023-02-28,2023-02-02
471,2023-03-01,Value Chain,4840.0,26,2023-03-01,2023-03-01
471,2022-12-01,Value Chain,3048.0,20,2022-12-01,2022-12-01
56,2023-03-01,Value Chain,14381.0,40,2023-03-01,2023-03-01
1056,2023-01-01,Value Chain,650.0,8,2023-01-23,2023-01-14
56,2023-03-01,InFlow,3000.0,2,2023-03-01,2023-03-01
34,2023-02-01,Value Chain,844082.0,482,2023-02-28,2023-02-01
26,2023-02-01,Value Chain,87531.0,326,2023-02-28,2023-02-01
531,2022-12-01,Value Chain,600054.0,3836,2022-12-01,2022-12-01
471,2023-01-01,OutFlow,11000.0,10,2023-01-31,2023-01-04
1056,2022-12-01,Value Chain,400.0,2,2022-12-01,2022-12-01
56,2022-12-01,Value Chain,18301.0,40,2022-12-01,2022-12-01
222,2023-01-01,InFlow,170.0,1,2023-01-20,2023-01-20
26,2022-12-01,Value Chain,460.0,11,2022-12-01,2022-12-01
26,2023-01-01,InFlow,233641.0,86,2023-01-31,2023-01-01
56,2023-02-01,InFlow,93756.0,83,2023-02-28,2023-02-01
34,2023-01-01,Value Chain,1198676.0,517,2023-01-31,2023-01-01
34,2022-12-01,InFlow,83200.0,5,2022-12-01,2022-12-01
34,2023-03-01,Value Chain,83842.0,26,2023-03-01,2023-03-01
471,2023-01-01,InFlow,10000.0,9,2023-01-31,2023-01-04
471,2023-01-01,Value Chain,97023.0,508,2023-01-31,2023-01-01
26,2023-02-01,OutFlow,631800.0,127,2023-02-28,2023-02-01
222,2022-12-01,Value Chain,270.0,2,2022-12-01,2022-12-01
531,2023-02-01,Value Chain,4009954.0,8007,2023-02-28,2023-02-01
531,2023-01-01,Value Chain,5440140.0,20695,2023-01-31,2023-01-01
56,2023-02-01,OutFlow,645756.0,107,2023-02-28,2023-02-01
34,2022-12-01,OutFlow,88200.0,6,2022-12-01,2022-12-01
531,2023-03-01,Value Chain,135291.0,326,2023-03-01,2023-03-01
26,2023-03-01,OutFlow,6650.0,4,2023-03-01,2023-03-01
34,2023-01-01,InFlow,1.2991992E7,730,2023-01-31,2023-01-01
222,2023-02-01,OutFlow,250.0,1,2023-02-19,2023-02-19
56,2023-03-01,OutFlow,84000.0,5,2023-03-01,2023-03-01
1056,2023-02-01,OutFlow,5500.0,1,2023-02-21,2023-02-21
34,2023-02-01,InFlow,1.1958637E7,670,2023-02-28,2023-02-01
56,2023-01-01,Value Chain,329529.0,790,2023-01-31,2023-01-01
471,2023-02-01,Value Chain,81810.0,447,2023-02-28,2023-02-01
222,2023-01-01,Value Chain,2090.0,20,2023-01-27,2023-01-01
1056,2023-01-01,OutFlow,755.0,1,2023-01-08,2023-01-08
222,2023-01-01,OutFlow,170.0,1,2023-01-20,2023-01-20
26,2023-01-01,Value Chain,145111.0,360,2023-01-31,2023-01-01
34,2023-01-01,OutFlow,1.3915812E7,793,2023-01-31,2023-01-01
1056,2023-02-01,Value Chain,1054.0,12,2023-02-24,2023-02-02
26,2023-03-01,InFlow,6200.0,3,2023-03-01,2023-03-01
26,2023-03-01,Value Chain,8561.0,16,2023-03-01,2023-03-01
26,2023-01-01,OutFlow,366391.0,104,2023-01-31,2023-01-01
56,2023-01-01,OutFlow,898575.0,133,2023-01-31,2023-01-01
56,2022-12-01,InFlow,9725.0,3,2022-12-01,2022-12-01
56,2023-01-01,InFlow,114575.0,94,2023-01-31,2023-01-01
